Date /Time,Solar Radiation (W/m2),Precipitation (mm),Wind Speed (m/s),Wind Direction (deg),Gust Speed (m/s),Air Temperature (degC),Atmospheric Pressure (hPa),Relative Humidity (%)
2021-09-22T00:03:03+10:00,0,10,0.94,272.1,1.89,8.6,1024.1,77
2021-09-22T00:17:56+10:00,0,0,1.9,257.9,2.86,8.5,1024.2,80.3
2021-09-22T00:33:00+10:00,0,0,2.68,264.2,3.79,8.5,1024,82.1
2021-09-22T00:48:13+10:00,0,0,2.68,265.1,3.83,8.3,1023.8,81.6
2021-09-22T01:03:12+10:00,0,0,2.09,264.2,2.93,7.9,1023.8,81.9
2021-09-22T01:18:01+10:00,0,0,2.45,273.3,3.71,7.8,1023.6,81
2021-09-22T01:33:25+10:00,0,0,2.78,276.1,3.88,7.7,1023.5,80.3
2021-09-22T01:47:59+10:00,0,0,2.26,270.6,2.9,7.3,1023.2,80.6
2021-09-22T02:02:48+10:00,0,0,2.03,267.8,2.88,7,1023,82.9
2021-09-22T02:17:39+10:00,0,0,2.41,267.7,3.63,6.9,1022.8,86
2021-09-22T02:33:06+10:00,0,12,2.41,266.8,3.18,6.6,1022.7,88.6
2021-09-22T02:48:15+10:00,0,0,2.09,263.8,2.86,6.5,1022.5,88.8
2021-09-22T03:03:28+10:00,0,0,1.96,265.7,2.7,6.4,1022.4,88.3
2021-09-22T03:18:38+10:00,0,0,2.38,273.1,3.37,6.2,1022.3,89.7
2021-09-22T03:33:56+10:00,0,0,2.33,269.1,3.31,6,1022.3,90.1
2021-09-22T03:49:08+10:00,0,0,2.66,266.2,3.55,5.9,1022.2,91
2021-09-22T04:04:14+10:00,0,0,2.58,272.2,3.48,5.9,1022.2,90.5
2021-09-22T04:19:39+10:00,0,0,2.72,270.8,4.16,5.8,1022.1,91.1
2021-09-22T04:34:52+10:00,0,0,2.52,273.3,3.59,5.6,1022.1,91.4
2021-09-22T04:50:13+10:00,0,0,2.66,275.1,3.6,5.6,1022.2,91.1
2021-09-22T05:05:19+10:00,0,0,2.68,272,3.78,5.4,1022.2,91.6
2021-09-22T05:20:11+10:00,0,0,2.71,269.8,3.53,5.6,1022.3,90.5
2021-09-22T05:35:17+10:00,0,0,2.83,273.1,4.04,5.5,1022.5,91.7
2021-09-22T05:50:06+10:00,2,0,2.95,274,3.81,5.4,1022.6,92.4
2021-09-22T06:05:14+10:00,8,0,2.73,276.6,3.98,5.4,1022.7,91.5
2021-09-22T06:20:43+10:00,35,13,2.57,267.3,3.32,5.5,1022.7,91.2
2021-09-22T06:35:38+10:00,113,0,2.96,269.3,3.98,5.7,1022.7,92.9
2021-09-22T06:50:28+10:00,156,0,2.95,270.9,4.01,5.9,1022.9,94.1
2021-09-22T07:05:31+10:00,194,0,2.18,267.6,3.41,6.5,1023,92.2
2021-09-22T07:20:43+10:00,215,0,1.86,262.1,2.96,7,1023,91.5
2021-09-22T07:35:55+10:00,260,0,1.84,264,2.67,7.8,1023.2,89.8
2021-09-22T07:50:49+10:00,327,0,1.57,281.6,2.58,8.5,1023.2,87.3
2021-09-22T08:05:38+10:00,377,0,0.97,285.7,1.47,9.4,1023.4,83.9
2021-09-22T08:20:50+10:00,423,0,0.81,266.6,1.29,10.1,1023.5,82.6
2021-09-22T08:36:03+10:00,465,0,1.06,273.7,1.99,11,1023.5,80.1
2021-09-22T08:51:11+10:00,463,0,1.11,266.6,1.57,11.8,1023.7,74.7
2021-09-22T09:06:15+10:00,490,0,1.21,278.3,2.08,13,1023.8,62.6
2021-09-22T09:20:54+10:00,583,0,1.44,279.2,2.61,13.8,1023.7,61
2021-09-22T09:35:40+10:00,621,0,1.79,277.8,3.55,14.1,1023.8,58.3
2021-09-22T09:50:44+10:00,632,0,0.74,108.6,2.43,14.6,1023.8,56.1
2021-09-22T10:05:26+10:00,587,0,2.28,103,3.65,14.7,1023.6,56.6
2021-09-22T10:20:45+10:00,674,0,3.22,106.5,5.55,14.3,1023.5,58.2
2021-09-22T10:35:17+10:00,726,0,3.47,105.5,5.78,14.2,1023.3,59.7
2021-09-22T10:50:08+10:00,733,0,3.55,109.6,5.31,14.1,1023.2,60.4
2021-09-22T11:05:37+10:00,678,0,3.92,103.9,6.03,14.2,1023.2,60.6
2021-09-22T11:20:23+10:00,672,0,4.37,105.2,6.7,14.1,1023,62.2
2021-09-22T11:35:14+10:00,756,0,4.5,107.7,6.68,14.1,1022.8,62.9
2021-09-22T11:50:05+10:00,771,0,4.51,104.4,7.01,14.2,1022.4,63.7
2021-09-22T12:05:10+10:00,763,0,4.8,106.2,6.75,14.3,1022.1,63.8
2021-09-22T12:20:12+10:00,725,0,4.88,105.6,7.44,14.4,1021.8,64.4
2021-09-22T12:35:13+10:00,685,0,5.12,108.1,7.52,14.5,1021.6,65.4
2021-09-22T12:50:22+10:00,625,0,4.95,105.4,8.09,14.7,1021.5,66.3
2021-09-22T13:05:48+10:00,610,0,5.71,108.9,8.82,14.7,1021.3,66.6
2021-09-22T13:20:39+10:00,634,0,5.61,108.7,9.58,14.8,1021.1,67.5
2021-09-22T13:35:29+10:00,635,0,5.73,110.7,9,14.9,1020.8,67.3
2021-09-22T13:50:39+10:00,630,0,5.91,112.8,8.65,15,1020.6,67.6
2021-09-22T14:05:57+10:00,614,0,5.04,111.3,7.38,15.4,1020.4,67.5
2021-09-22T14:21:02+10:00,580,0,4.76,107.8,8.56,15.6,1020.4,67.2
2021-09-22T14:35:44+10:00,544,0,4.96,112.7,7.43,15.6,1020.3,67.4
2021-09-22T14:50:42+10:00,505,0,5.06,113.6,8.13,15.6,1020.1,67.4
2021-09-22T15:05:53+10:00,464,0,4.87,111.3,7.9,15.7,1020,67
2021-09-22T15:21:05+10:00,420,0,4.74,111.3,7.23,15.7,1019.8,66.8
2021-09-22T15:35:34+10:00,376,0,4.22,111.2,6.05,15.8,1019.8,66.6
2021-09-22T15:50:31+10:00,331,0,3.22,105.4,6.01,16.3,1019.8,63.5
2021-09-22T16:05:28+10:00,285,0,3.2,104.4,5.22,16.4,1019.9,62.6
2021-09-22T16:20:55+10:00,238,0,1.87,95.8,4.63,16.5,1020,62.4
2021-09-22T16:36:14+10:00,192,0,2.19,104.9,4.14,16.4,1020.2,63.4
2021-09-22T16:51:08+10:00,150,0,2.65,103.8,4.51,16.2,1020.3,64.2
2021-09-22T17:06:02+10:00,112,0,1.33,101,4.21,16.4,1020.3,64.1
2021-09-22T17:20:49+10:00,77,0,1.18,100.4,2.48,16.4,1020.3,64.7
2021-09-22T17:35:35+10:00,46,0,1.72,103.6,4.09,15.9,1020.7,65.5
2021-09-22T17:50:45+10:00,12,0,1.94,103.2,3.66,15.1,1020.9,68.3
2021-09-22T18:05:54+10:00,3,0,1.68,102.9,3.85,14.8,1021.1,69.6
2021-09-22T18:20:42+10:00,0,0,1.22,102.7,3.6,14.5,1021.5,70.8
2021-09-22T18:35:51+10:00,0,0,0.47,57,1.38,14.1,1021.5,72.4
2021-09-22T18:51:11+10:00,0,0,0.59,302.7,1.02,13.6,1021.5,75.7
2021-09-22T19:06:09+10:00,0,0,0.58,313.7,0.98,13,1021.5,79.7
2021-09-22T19:20:58+10:00,0,0,0.66,244.4,1.24,12.7,1021.7,80.9
2021-09-22T19:36:00+10:00,0,0,0.36,36.4,0.78,12.2,1021.7,82.9
2021-09-22T19:51:18+10:00,0,0,0.66,258.9,1.05,12.1,1021.8,83.2
2021-09-22T20:06:31+10:00,0,0,0.77,323.8,1.28,12.1,1021.8,84.8
2021-09-22T20:21:43+10:00,0,0,0.58,262.8,1,11.9,1021.8,86
2021-09-22T20:37:02+10:00,0,0,0.58,216.4,1.54,11.6,1022,87.5
2021-09-22T20:51:42+10:00,0,0,0.94,288.7,1.74,11.6,1022,87
2021-09-22T21:06:46+10:00,0,0,1.13,275.3,1.84,11.9,1021.9,86.5
2021-09-22T21:21:59+10:00,0,0,0.76,276.2,1.55,11.7,1021.7,88.6
2021-09-22T21:37:03+10:00,0,0,0.45,272.6,1.09,11.4,1021.7,89.5
2021-09-22T21:52:06+10:00,0,0,0.75,306.9,1.43,11.2,1021.5,89.6
2021-09-22T22:07:18+10:00,0,0,1.25,275,2.59,11.2,1021.4,89.6
2021-09-22T22:22:37+10:00,0,0,1.14,268.7,2.08,11,1021.3,91.3
2021-09-22T22:37:47+10:00,0,0,0.86,259.3,1.49,10.8,1021.1,91.2
2021-09-22T22:52:59+10:00,0,0,0.98,270.7,1.93,10.7,1021.1,91.4
2021-09-22T23:08:13+10:00,0,0,1.29,252.3,2.94,10.5,1021,92.3
2021-09-22T23:23:17+10:00,0,0,0.3,301.3,0.99,10.1,1020.8,93.5
2021-09-22T23:38:21+10:00,0,0,0.63,241.3,1.23,10,1020.6,92.6
2021-09-22T23:53:31+10:00,0,0,0.85,255.5,1.61,10,1020.4,92.4
